9.91E+01,9.48E+01,9.83E+01,9.57E+01,9.30E+01,96.20 
9.83E+01,1.00E+02,1.00E+02,9.83E+01,9.91E+01,99.10 
1.00E+02,1.00E+02,9.83E+01,1.00E+02,1.00E+02,99.70 
9.14E+01,8.96E+01,9.22E+01,8.52E+01,9.30E+01,90.30 
1.00E+02,9.83E+01,1.00E+02,1.00E+02,1.00E+02,99.70 
9.31E+01,9.74E+01,9.48E+01,1.00E+02,9.65E+01,96.40 
9.57E+01,9.91E+01,1.00E+02,9.83E+01,9.48E+01,97.60 
9.91E+01,1.00E+02,9.83E+01,9.91E+01,9.91E+01,99.10 
9.66E+01,9.57E+01,9.57E+01,9.48E+01,9.83E+01,96.20 
9.91E+01,9.74E+01,9.65E+01,9.74E+01,9.65E+01,97.40 
8.88E+01,8.87E+01,9.04E+01,8.61E+01,9.22E+01,89.20 
9.31E+01,9.04E+01,9.13E+01,9.39E+01,9.13E+01,92.00 
9.83E+01,1.00E+02,9.91E+01,9.83E+01,9.91E+01,99.00 
9.66E+01,1.00E+02,9.83E+01,9.91E+01,9.83E+01,98.40 
9.74E+01,1.00E+02,9.83E+01,9.91E+01,9.91E+01,98.80 
1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,100.00 
9.67E+01,9.70E+01,9.70E+01,9.66E+01,9.69E+01,96.80 
